Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,Command,Anomaly?,Anomaly Mode,Attribute,Desired Speed,Desired R,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time
508529,0.0,0.0,10.29,0.0,0,M,M,M,250.0,15,36.53,254.6,0,10.29,Force Sensor 3,1,349.19,16.69,-2.37,7.19,-1612.5,2.94,2.24,-0.02,-18.31,12.38,45.69,-69.06,-0.96,-0.05,0.27,-0.09,29,-242417664,-1346.87,5454266,,3
508547,0.0,0.0,10.37,0.0,0,M,M,M,250.0,15,36.14,267.29,0,10.37,Force Sensor 3,1,349.75,47.69,-3.44,7.0,-1613.19,3.94,1.21,0.59,-19.44,12.38,45.69,-69.06,-0.91,-0.06,0.4,-0.08,29,-218759168,-1925.26,5454279,62.5,21
508559,0.0,0.0,10.29,0.0,0,M,M,M,250.0,15,36.25,269.54,0,10.29,Force Sensor 3,1,350.06,63.13,-5.19,7.0,-1608.38,4.87,0.47,-0.89,-19.84,12.38,45.69,-69.06,-0.85,-0.07,0.52,-0.07,29,-225607680,-2339.78,5454289,83.33333333333333,33
508574,0.0,0.0,10.0,0.0,0,M,M,M,250.0,15,36.13,254.42,0,10.0,Force Sensor 3,1,350.5,78.87,-12.13,5.25,-1654.25,4.37,1.63,0.14,-18.44,-64.75,48.69,-26.87,-0.77,-0.08,0.63,-0.06,29,-224329728,-2545.11,5454301,55.555555555555564,48
508592,0.0,0.0,10.41,0.0,0,M,M,M,250.0,15,37.11,239.8,0,10.41,Force Sensor 3,1,351.0,84.56,-177.69,6.5,-1638.44,3.87,-1.03,-0.12,-18.16,-64.75,48.69,-26.87,-0.57,-0.09,0.82,-0.04,29,-215154688,-2555.62,5454315,66.66666666666667,66
508605,0.0,0.0,9.52,0.01,0,M,M,M,250.0,15,37.62,237.76,0,9.52,Force Sensor 3,1,352.75,53.75,-176.25,7.12,-1607.69,2.81,-3.13,0.05,-15.62,-64.75,48.69,-26.87,-0.45,-0.1,0.89,-0.03,29,-221675520,-2315.16,5454327,71.42857142857143,79
508620,0.0,0.0,9.39,0.0,0,M,M,M,250.0,15,37.73,232.22,0,9.39,Force Sensor 3,1,347.62,38.38,-177.25,7.56,-1598.44,4.37,-3.63,-0.29,-16.35,-64.75,48.69,-26.87,-0.33,-0.1,0.94,-0.02,29,-224886784,-1859.02,5454340,62.5,94
508637,0.0,0.0,9.18,0.0,0,M,M,M,250.0,15,38.01,229.78,0,9.18,Force Sensor 3,1,348.0,23.06,-177.75,6.06,-1592.06,3.81,-4.04,-0.3,-13.97,-49.88,44.19,60.25,-0.2,-0.1,0.97,-0.0,29,-206602240,-1326.81,5454353,83.33333333333333,111
508649,0.0,0.0,9.32,0.0,0,M,M,M,250.0,15,38.01,232.54,0,9.32,Force Sensor 3,1,348.25,8.0,-178.0,5.44,-1536.81,4.12,-0.92,-0.34,-9.98,-49.88,44.19,60.25,0.06,-0.1,0.99,0.02,29,-204898304,-741.16,5454369,66.66666666666667,123
508664,0.0,0.0,9.74,0.0,0,M,M,M,250.0,15,38.02,245.1,0,9.74,Force Sensor 3,1,348.81,-20.94,-177.94,4.56,-1483.06,2.31,-4.13,-0.12,-7.33,-49.88,44.19,60.25,0.3,-0.09,0.95,0.05,29,-225411072,-192.37,5454381,58.82352941176471,138
508681,0.0,0.0,10.6,0.0,0,M,M,M,250.0,15,37.4,244.93,0,10.6,Force Sensor 3,1,349.12,-34.81,-177.69,4.94,-1440.81,3.69,-0.08,-0.19,-7.69,-49.88,44.19,60.25,0.3,-0.09,0.95,0.05,29,-195002368,349.31,5454392,62.5,155
508699,0.0,0.0,10.5,0.0,0,M,M,M,250.0,15,36.89,254.6,0,10.5,Force Sensor 3,1,344.5,-48.63,-177.19,4.5,-1431.44,3.19,-3.94,-0.31,-6.23,50.69,34.06,51.69,0.51,-0.08,0.85,0.06,29,-214269952,857.84,5454405,76.92307692307692,173
